REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_DEMRESLPGCKN_MID_RUR,2,2022,0.0
RE1,AN_DEMRESLPGCKN_MID_URB,1,2022,0.0
RE1,AN_DEMRESLPGCKN_MID_URB,2,2022,0.0
RE1,AN_DEMRESNGSCKN_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESNGSCKN_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESNGSCKN_HIG_URB,1,2022,0.0
RE1,AN_DEMRESNGSCKN_HIG_URB,2,2022,0.0
RE1,AN_DEMRESNGSCKN_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESNGSCKN_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESNGSCKN_LOW_URB,1,2022,0.0
RE1,AN_DEMRESNGSCKN_LOW_URB,2,2022,0.0
RE1,AN_DEMRESNGSCKN_MID_RUR,1,2022,0.0
RE1,AN_DEMRESNGSCKN_MID_RUR,2,2022,0.0
RE1,AN_DEMRESNGSCKN_MID_URB,1,2022,0.0
RE1,AN_DEMRESNGSCKN_MID_URB,2,2022,0.0
RE1,AN_DEMRESNGSWHT_FOR_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESNGSWHT_FOR_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESNGSWHT_FOR_HIG_URB,1,2022,0.0
RE1,AN_DEMRESNGSWHT_FOR_HIG_URB,2,2022,0.0
RE1,AN_DEMRESNGSWHT_FOR_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESNGSWHT_FOR_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESNGSWHT_FOR_LOW_URB,1,2022,0.0
RE1,AN_DEMRESNGSWHT_FOR_LOW_URB,2,2022,0.0
RE1,AN_DEMRESNGSWHT_FOR_MID_RUR,1,2022,0.0
RE1,AN_DEMRESNGSWHT_FOR_MID_RUR,2,2022,0.0
RE1,AN_DEMRESNGSWHT_FOR_MID_URB,1,2022,0.0
RE1,AN_DEMRESNGSWHT_FOR_MID_URB,2,2022,0.0
RE1,AN_DEMRESNGSWHT_NAT_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESNGSWHT_NAT_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESNGSWHT_NAT_HIG_URB,1,2022,0.0
RE1,AN_DEMRESNGSWHT_NAT_HIG_URB,2,2022,0.0
RE1,AN_DEMRESNGSWHT_NAT_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESNGSWHT_NAT_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESNGSWHT_NAT_LOW_URB,1,2022,0.0
RE1,AN_DEMRESNGSWHT_NAT_LOW_URB,2,2022,0.0
RE1,AN_DEMRESNGSWHT_NAT_MID_RUR,1,2022,0.0
RE1,AN_DEMRESNGSWHT_NAT_MID_RUR,2,2022,0.0
RE1,AN_DEMRESNGSWHT_NAT_MID_URB,1,2022,0.0
RE1,AN_DEMRESNGSWHT_NAT_MID_URB,2,2022,0.0
RE1,AN_DEMRESWOOCKN_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESWOOCKN_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESWOOCKN_HIG_URB,1,2022,0.0
