REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_DEMINDNGSBOI_HIG,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDNGSBOI_LOW,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDNGSBOI_MID,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDNGSFURCSS,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDNGSFUR_HIG,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDNGSFUR_LOW,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDNGSFUR_MID,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDWASBOI_HIG,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDWASBOI_LOW,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDWASBOI_MID,AN_INDIHT,1,2022,1.0
RE1,AN_DEMINDWASFUR_HIG,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDWASFUR_LOW,AN_INDDHT,1,2022,1.0
RE1,AN_DEMINDWASFUR_MID,AN_INDDHT,1,2022,1.0
RE1,AN_DEMMINIDSL,AN_MINIDSL,1,2022,1.0
RE1,AN_DEMMINIELC,AN_MINIELC,1,2022,1.0
RE1,AN_DEMMINIGSL,AN_MINIGSL,1,2022,1.0
RE1,AN_DEMMININGS,AN_MININGS,1,2022,1.0
RE1,AN_DEMNGSAUT,AN_NGSAUT,1,2022,1.0
RE1,AN_DEMNSEELC,AN_NSEELC,1,2022,1.0
RE1,AN_DEMRESBGSCKN_MID_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESELCAIR_PAR_HIG_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_DEMRESELCAIR_PAR_HIG_URB,AN_RESCLIM_URB,1,2022,1.0
RE1,AN_DEMRESELCAIR_PAR_LOW_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_DEMRESELCAIR_PAR_LOW_URB,AN_RESCLIM_URB,1,2022,1.0
RE1,AN_DEMRESELCAIR_PAR_MID_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_DEMRESELCAIR_PAR_MID_URB,AN_RESCLIM_URB,1,2022,1.0
RE1,AN_DEMRESELCAIR_POR_HIG_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_DEMRESELCAIR_POR_HIG_URB,AN_RESCLIM_URB,1,2022,1.0
RE1,AN_DEMRESELCAIR_POR_LOW_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_DEMRESELCAIR_POR_LOW_URB,AN_RESCLIM_URB,1,2022,1.0
