REGION,FUEL,TIMESLICE,YEAR,VALUE
RE1,AGFELC,S109,2026,0.0
RE1,AGFELC,S109,2027,0.0
RE1,AGFELC,S109,2028,0.0
RE1,AGFELC,S109,2029,0.0
RE1,AGFELC,S109,2030,0.0
RE1,AGFELC,S109,2031,0.0
RE1,AGFELC,S109,2032,0.0
RE1,AGFELC,S109,2033,0.0
RE1,AGFELC,S109,2034,0.0
RE1,AGFELC,S109,2035,0.0
RE1,AGFELC,S109,2036,0.0
RE1,AGFELC,S109,2037,0.0
RE1,AGFELC,S109,2038,0.0
RE1,AGFELC,S109,2039,0.0
RE1,AGFELC,S109,2040,0.0
RE1,AGFELC,S109,2041,0.0
RE1,AGFELC,S109,2042,0.0
RE1,AGFELC,S109,2043,0.0
RE1,AGFELC,S109,2044,0.0
RE1,AGFELC,S109,2045,0.0
RE1,AGFELC,S109,2046,0.0
RE1,AGFELC,S109,2047,0.0
RE1,AGFELC,S109,2048,0.0
RE1,AGFELC,S109,2049,0.0
RE1,AGFELC,S109,2050,0.0
RE1,AGFELC,S109,2051,0.0
RE1,AGFELC,S109,2052,0.0
RE1,AGFELC,S109,2053,0.0
RE1,AGFELC,S109,2054,0.0
RE1,AGFELC,S110,2022,0.0
RE1,AGFELC,S110,2023,0.0
RE1,AGFELC,S110,2024,0.0
RE1,AGFELC,S110,2025,0.0
RE1,AGFELC,S110,2026,0.0
RE1,AGFELC,S110,2027,0.0
RE1,AGFELC,S110,2028,0.0
RE1,AGFELC,S110,2029,0.0
RE1,AGFELC,S110,2030,0.0
RE1,AGFELC,S110,2031,0.0
RE1,AGFELC,S110,2032,0.0
RE1,AGFELC,S110,2033,0.0
RE1,AGFELC,S110,2034,0.0
RE1,AGFELC,S110,2035,0.0
RE1,AGFELC,S110,2036,0.0
RE1,AGFELC,S110,2037,0.0
RE1,AGFELC,S110,2038,0.0
RE1,AGFELC,S110,2039,0.0
RE1,AGFELC,S110,2040,0.0
RE1,AGFELC,S110,2041,0.0
RE1,AGFELC,S110,2042,0.0
RE1,AGFELC,S110,2043,0.0
RE1,AGFELC,S110,2044,0.0
RE1,AGFELC,S110,2045,0.0
RE1,AGFELC,S110,2046,0.0
RE1,AGFELC,S110,2047,0.0
RE1,AGFELC,S110,2048,0.0
RE1,AGFELC,S110,2049,0.0
RE1,AGFELC,S110,2050,0.0
RE1,AGFELC,S110,2051,0.0
RE1,AGFELC,S110,2052,0.0
RE1,AGFELC,S110,2053,0.0
RE1,AGFELC,S110,2054,0.0
RE1,AGFELC,S111,2022,0.0
RE1,AGFELC,S111,2023,0.0
RE1,AGFELC,S111,2024,0.0
RE1,AGFELC,S111,2025,0.0
RE1,AGFELC,S111,2026,0.0
RE1,AGFELC,S111,2027,0.0
RE1,AGFELC,S111,2028,0.0
RE1,AGFELC,S111,2029,0.0
RE1,AGFELC,S111,2030,0.0
RE1,AGFELC,S111,2031,0.0
RE1,AGFELC,S111,2032,0.0
RE1,AGFELC,S111,2033,0.0
RE1,AGFELC,S111,2034,0.0
RE1,AGFELC,S111,2035,0.0
RE1,AGFELC,S111,2036,0.0
RE1,AGFELC,S111,2037,0.0
RE1,AGFELC,S111,2038,0.0
RE1,AGFELC,S111,2039,0.0
RE1,AGFELC,S111,2040,0.0
RE1,AGFELC,S111,2041,0.0
RE1,AGFELC,S111,2042,0.0
RE1,AGFELC,S111,2043,0.0
RE1,AGFELC,S111,2044,0.0
RE1,AGFELC,S111,2045,0.0
RE1,AGFELC,S111,2046,0.0
RE1,AGFELC,S111,2047,0.0
RE1,AGFELC,S111,2048,0.0
RE1,AGFELC,S111,2049,0.0
RE1,AGFELC,S111,2050,0.0
RE1,AGFELC,S111,2051,0.0
RE1,AGFELC,S111,2052,0.0
RE1,AGFELC,S111,2053,0.0
RE1,AGFELC,S111,2054,0.0
RE1,AGFELC,S112,2022,0.0
RE1,AGFELC,S112,2023,0.0
RE1,AGFELC,S112,2024,0.0
RE1,AGFELC,S112,2025,0.0
RE1,AGFELC,S112,2026,0.0
RE1,AGFELC,S112,2027,0.0
RE1,AGFELC,S112,2028,0.0
RE1,AGFELC,S112,2029,0.0
RE1,AGFELC,S112,2030,0.0
RE1,AGFELC,S112,2031,0.0
RE1,AGFELC,S112,2032,0.0
RE1,AGFELC,S112,2033,0.0
RE1,AGFELC,S112,2034,0.0
RE1,AGFELC,S112,2035,0.0
RE1,AGFELC,S112,2036,0.0
RE1,AGFELC,S112,2037,0.0
RE1,AGFELC,S112,2038,0.0
RE1,AGFELC,S112,2039,0.0
RE1,AGFELC,S112,2040,0.0
RE1,AGFELC,S112,2041,0.0
RE1,AGFELC,S112,2042,0.0
RE1,AGFELC,S112,2043,0.0
RE1,AGFELC,S112,2044,0.0
RE1,AGFELC,S112,2045,0.0
RE1,AGFELC,S112,2046,0.0
RE1,AGFELC,S112,2047,0.0
RE1,AGFELC,S112,2048,0.0
RE1,AGFELC,S112,2049,0.0
RE1,AGFELC,S112,2050,0.0
RE1,AGFELC,S112,2051,0.0
RE1,AGFELC,S112,2052,0.0
RE1,AGFELC,S112,2053,0.0
RE1,AGFELC,S112,2054,0.0
RE1,AGFELC,S113,2022,0.0
RE1,AGFELC,S113,2023,0.0
RE1,AGFELC,S113,2024,0.0
RE1,AGFELC,S113,2025,0.0
RE1,AGFELC,S113,2026,0.0
RE1,AGFELC,S113,2027,0.0
RE1,AGFELC,S113,2028,0.0
RE1,AGFELC,S113,2029,0.0
RE1,AGFELC,S113,2030,0.0
RE1,AGFELC,S113,2031,0.0
RE1,AGFELC,S113,2032,0.0
RE1,AGFELC,S113,2033,0.0
RE1,AGFELC,S113,2034,0.0
RE1,AGFELC,S113,2035,0.0
RE1,AGFELC,S113,2036,0.0
RE1,AGFELC,S113,2037,0.0
RE1,AGFELC,S113,2038,0.0
RE1,AGFELC,S113,2039,0.0
RE1,AGFELC,S113,2040,0.0
RE1,AGFELC,S113,2041,0.0
RE1,AGFELC,S113,2042,0.0
RE1,AGFELC,S113,2043,0.0
RE1,AGFELC,S113,2044,0.0
RE1,AGFELC,S113,2045,0.0
RE1,AGFELC,S113,2046,0.0
RE1,AGFELC,S113,2047,0.0
RE1,AGFELC,S113,2048,0.0
RE1,AGFELC,S113,2049,0.0
RE1,AGFELC,S113,2050,0.0
RE1,AGFELC,S113,2051,0.0
RE1,AGFELC,S113,2052,0.0
RE1,AGFELC,S113,2053,0.0
RE1,AGFELC,S113,2054,0.0
RE1,AGFELC,S114,2022,0.0
RE1,AGFELC,S114,2023,0.0
RE1,AGFELC,S114,2024,0.0
RE1,AGFELC,S114,2025,0.0
RE1,AGFELC,S114,2026,0.0
RE1,AGFELC,S114,2027,0.0
RE1,AGFELC,S114,2028,0.0
RE1,AGFELC,S114,2029,0.0
RE1,AGFELC,S114,2030,0.0
RE1,AGFELC,S114,2031,0.0
RE1,AGFELC,S114,2032,0.0
RE1,AGFELC,S114,2033,0.0
RE1,AGFELC,S114,2034,0.0
RE1,AGFELC,S114,2035,0.0
RE1,AGFELC,S114,2036,0.0
RE1,AGFELC,S114,2037,0.0
RE1,AGFELC,S114,2038,0.0
RE1,AGFELC,S114,2039,0.0
RE1,AGFELC,S114,2040,0.0
RE1,AGFELC,S114,2041,0.0
RE1,AGFELC,S114,2042,0.0
RE1,AGFELC,S114,2043,0.0
RE1,AGFELC,S114,2044,0.0
RE1,AGFELC,S114,2045,0.0
RE1,AGFELC,S114,2046,0.0
RE1,AGFELC,S114,2047,0.0
RE1,AGFELC,S114,2048,0.0
RE1,AGFELC,S114,2049,0.0
RE1,AGFELC,S114,2050,0.0
RE1,AGFELC,S114,2051,0.0
RE1,AGFELC,S114,2052,0.0
RE1,AGFELC,S114,2053,0.0
RE1,AGFELC,S114,2054,0.0
RE1,AGFELC,S115,2022,0.0
RE1,AGFELC,S115,2023,0.0
RE1,AGFELC,S115,2024,0.0
RE1,AGFELC,S115,2025,0.0
RE1,AGFELC,S115,2026,0.0
RE1,AGFELC,S115,2027,0.0
RE1,AGFELC,S115,2028,0.0
RE1,AGFELC,S115,2029,0.0
RE1,AGFELC,S115,2030,0.0
RE1,AGFELC,S115,2031,0.0
RE1,AGFELC,S115,2032,0.0
RE1,AGFELC,S115,2033,0.0
RE1,AGFELC,S115,2034,0.0
RE1,AGFELC,S115,2035,0.0
RE1,AGFELC,S115,2036,0.0
RE1,AGFELC,S115,2037,0.0
RE1,AGFELC,S115,2038,0.0
RE1,AGFELC,S115,2039,0.0
RE1,AGFELC,S115,2040,0.0
RE1,AGFELC,S115,2041,0.0
RE1,AGFELC,S115,2042,0.0
RE1,AGFELC,S115,2043,0.0
RE1,AGFELC,S115,2044,0.0
RE1,AGFELC,S115,2045,0.0
RE1,AGFELC,S115,2046,0.0
RE1,AGFELC,S115,2047,0.0
RE1,AGFELC,S115,2048,0.0
RE1,AGFELC,S115,2049,0.0
RE1,AGFELC,S115,2050,0.0
RE1,AGFELC,S115,2051,0.0
RE1,AGFELC,S115,2052,0.0
RE1,AGFELC,S115,2053,0.0
RE1,AGFELC,S115,2054,0.0
RE1,AGFELC,S116,2022,0.0
RE1,AGFELC,S116,2023,0.0
RE1,AGFELC,S116,2024,0.0
RE1,AGFELC,S116,2025,0.0
RE1,AGFELC,S116,2026,0.0
RE1,AGFELC,S116,2027,0.0
RE1,AGFELC,S116,2028,0.0
RE1,AGFELC,S116,2029,0.0
RE1,AGFELC,S116,2030,0.0
RE1,AGFELC,S116,2031,0.0
RE1,AGFELC,S116,2032,0.0
RE1,AGFELC,S116,2033,0.0
RE1,AGFELC,S116,2034,0.0
RE1,AGFELC,S116,2035,0.0
RE1,AGFELC,S116,2036,0.0
RE1,AGFELC,S116,2037,0.0
RE1,AGFELC,S116,2038,0.0
RE1,AGFELC,S116,2039,0.0
RE1,AGFELC,S116,2040,0.0
RE1,AGFELC,S116,2041,0.0
RE1,AGFELC,S116,2042,0.0
RE1,AGFELC,S116,2043,0.0
RE1,AGFELC,S116,2044,0.0
RE1,AGFELC,S116,2045,0.0
RE1,AGFELC,S116,2046,0.0
RE1,AGFELC,S116,2047,0.0
RE1,AGFELC,S116,2048,0.0
RE1,AGFELC,S116,2049,0.0
RE1,AGFELC,S116,2050,0.0
RE1,AGFELC,S116,2051,0.0
RE1,AGFELC,S116,2052,0.0
RE1,AGFELC,S116,2053,0.0
RE1,AGFELC,S116,2054,0.0
RE1,AGFELC,S117,2022,0.0
RE1,AGFELC,S117,2023,0.0
RE1,AGFELC,S117,2024,0.0
RE1,AGFELC,S117,2025,0.0
RE1,AGFELC,S117,2026,0.0
RE1,AGFELC,S117,2027,0.0
RE1,AGFELC,S117,2028,0.0
RE1,AGFELC,S117,2029,0.0
RE1,AGFELC,S117,2030,0.0
RE1,AGFELC,S117,2031,0.0
RE1,AGFELC,S117,2032,0.0
RE1,AGFELC,S117,2033,0.0
RE1,AGFELC,S117,2034,0.0
RE1,AGFELC,S117,2035,0.0
RE1,AGFELC,S117,2036,0.0
RE1,AGFELC,S117,2037,0.0
RE1,AGFELC,S117,2038,0.0
RE1,AGFELC,S117,2039,0.0
RE1,AGFELC,S117,2040,0.0
RE1,AGFELC,S117,2041,0.0
