Parametro,Dimension,Codigo_Destino,Region,Anio,Participacion_Efectiva,Valor_Absoluto
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2047,0.012189,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2048,0.012191,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2049,0.012189,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2050,0.012196,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2051,0.012204,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2052,0.012215,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2053,0.012229,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_LOW,IN,2054,0.012245,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2022,0.009832,6.1e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2023,0.009102,8.7e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2024,0.011822,0.000295
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2025,0.012323,0.000307
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2026,0.01234,0.000304
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2027,0.012354,0.000299
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2028,0.01236,0.000289
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2029,0.012366,0.000271
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2030,0.012362,0.000244
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2031,0.012349,0.000206
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2032,0.012334,0.000161
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2033,0.01232,0.000113
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2034,0.012304,6.9e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2035,0.012289,3.5e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2036,0.012271,1.4e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2037,0.012264,5e-06
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2038,0.012252,1e-06
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2039,0.012236,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2040,0.012224,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2041,0.012211,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2042,0.012206,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2043,0.012198,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2044,0.012196,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2045,0.012196,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2046,0.012188,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2047,0.012189,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2048,0.012191,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2049,0.012189,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2050,0.012196,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2051,0.012204,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2052,0.012215,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2053,0.012229,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_SPL_MID,IN,2054,0.012245,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2030,0.002977,0.000211
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2031,0.002973,0.000432
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2032,0.002969,0.000652
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2033,0.002965,0.000872
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2034,0.00296,0.00109
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2035,0.002956,0.001308
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2036,0.002952,0.001527
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2037,0.00295,0.001747
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2038,0.002947,0.001967
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2039,0.002943,0.002185
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2040,0.00294,0.002405
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2041,0.002937,0.002626
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2042,0.002936,0.002848
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2043,0.002935,0.00307
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2044,0.002934,0.003293
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2045,0.002934,0.003518
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2046,0.002933,0.003741
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2047,0.002933,0.003967
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2048,0.002934,0.004194
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2049,0.002933,0.004418
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2050,0.002934,0.004626
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2051,0.002936,0.004765
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2052,0.002938,0.004903
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2053,0.002941,0.005031
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_HIG,IN,2054,0.002944,0.005158
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2022,0.000703,0.002355
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2023,0.000731,0.002579
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2024,0.002774,0.010188
